GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Percent,Margin of Error
0400000US04,04,Arizona,9700000US0408170,0408170,"Arizona - SCHOOL DISTRICT, UNIFIED - Sunnyside Unified District",Sunnyside Unified District,90.0,2.6
0400000US04,04,Arizona,9700000US0408800,0408800,"Arizona - SCHOOL DISTRICT, UNIFIED - Tucson Unified District",Tucson Unified District,85.7,1.5
0400000US05,05,Arkansas,0400000US05,05,Arkansas,Arkansas,73.0,0.7
0400000US05,05,Arkansas,9700000US0503060,0503060,"Arkansas - SCHOOL DISTRICT, UNIFIED - Bentonville Public Schools",Bentonville Public Schools,64.7,4.2
0400000US05,05,Arkansas,9700000US0504590,0504590,"Arkansas - SCHOOL DISTRICT, UNIFIED - Conway Public Schools",Conway Public Schools,79.8,4.2
0400000US05,05,Arkansas,9700000US0506120,0506120,"Arkansas - SCHOOL DISTRICT, UNIFIED - Fayetteville School District",Fayetteville School District,87.3,3.3
0400000US05,05,Arkansas,9700000US0506330,0506330,"Arkansas - SCHOOL DISTRICT, UNIFIED - Fort Smith Public Schools",Fort Smith Public Schools,78.3,3.8
0400000US05,05,Arkansas,9700000US0509000,0509000,"Arkansas - SCHOOL DISTRICT, UNIFIED - Little Rock School District",Little Rock School District,80.3,3.4
0400000US05,05,Arkansas,9700000US0511850,0511850,"Arkansas - SCHOOL DISTRICT, UNIFIED - Pulaski County Special School District",Pulaski County Special School District,80.8,2.9
0400000US05,05,Arkansas,9700000US0511970,0511970,"Arkansas - SCHOOL DISTRICT, UNIFIED - Rogers Public Schools",Rogers Public Schools,54.3,4.1
0400000US05,05,Arkansas,9700000US0512660,0512660,"Arkansas - SCHOOL DISTRICT, UNIFIED - Springdale School District",Springdale School District,75.5,4.8
0400000US06,06,California,0400000US06,06,California,California,87.7,0.1
0400000US06,06,California,9500000US0602310,0602310,"California - SCHOOL DISTRICT, ELEMENTARY - Alum Rock Union Elementary School District",Alum Rock Union Elementary School District,86.7,2.9
